8129,7637
4539,2820
4411,355
233,3602
315212,3
485999,25745
44815,1551
53139,4919
621399,9263
54181,1198
7221,4041
5617,1645
4541,2668
445299,1156
54199,20552
811111,2325
45322,2060
42299,803
62131,648
421,4413
56172,11024
71399,864
422,2416
611691,1684
81119,537
71113,1212
5412,1115
45299,4891
45321,197
54133,2407
54161,5828
512131,112
441222,378
812112,9679
44831,1126
5415,4516
811198,2353
5419,4289
23511,1116
234,203
5411,4313
443111,193
44521,25
4229,493
52229,145
541,34085
339999,1111
522292,1432
4413,596
311811,714
484,504
5615,811
44112,2403
811211,280
443,486
4853,650
4215,74
7113,811
541213,1055
44132,373
44814,778
323,440
3262,51
4533,1057
44229,515
541511,4609
4211,350
561499,1403
4543,1410
4421,103
42199,1353
713,197
6213,353
4412,138
513,502
4216,338
722,1907
45113,157
452,3041
6211,800
62121,960
56174,1145
31199,143
2353,719
81142,289
315,490
2351,626
722211,1283
5413,970
5418,1563
42121,137
56173,2335
4529,961
447,115
8134,600
8111,709
6215,242
23599,2787
81143,93
3231,185
4451,829
811219,1265
452999,6885
4531,862
54192,2282
81231,568
2357,204
2333,325
52421,1475
6241,1360
62311,115
311,36
334,219
339116,130
7224,279
5616,385
2332,1341
4542,523
23,1079
4214,198
51112,131
339,469
334419,182
493,171
4213,144
4223,654
6231,73
54121,673
621999,980
53121,2231
332,213
235,1120
44812,896
2352,331
44811,184
44529,1352
23311,273
8121,870
327,100
541219,2490
451211,802
62199,381
2359,777
321,203
62139,329
5613,571
53229,266
811121,360
44531,213
81232,496
488999,485
4482,182
5322,103
32311,166
3327,89
5312,665
812111,1082
45111,621
4453,109
52222,26
711211,190
5121,418
332312,73
6212,184
483,129
8139,52
52219,28
45331,335
81149,1728
54141,747
4471,228
31523,21
442,576
62111,617
3352,7
5311,523
332999,161
442299,496
2354,138
53223,259
81291,695
313,37
23531,1041
45122,315
61171,697
81293,477
3361,13
325998,54
3335,7
4226,28
481,165
45411,1907
488,266
42171,26
3344,151
52412,64
42183,150
485,253
52393,157
4442,68
45112,476
6244,297
551112,633
32619,74
51113,160
4224,282
441,85
4217,87
52311,334
812115,1625
4889,164
31181,56
4885,51
2355,158
44821,159
333315,5
523,74
443112,216
45311,476
622,87
611,2701
624,147
11521,226
44413,81
44611,201
3169,7
3115,10
3273,15
333314,58
314999,116
33422,77
2356,178
44412,50
325,15
333518,16
44221,79
44313,69
52399,139
4222,45
33312,3
52391,42
53119,230
23521,374
711212,18
54169,1074
23499,66
42191,195
4931,107
71394,528
316,21
325412,72
311421,55
541211,473
54194,243
336,40
62132,229
48531,2750
333,25
44832,81
45421,357
811212,307
44613,108
23561,258
811118,126
52221,40
322,21
321999,142
42111,550
44813,128
72241,272
331,30
81355,59
72233,962
5621,20
5222,94
5232,103
42249,193
532111,231
3341,35
5313,1010
31522,20
321211,10
81294,52
32512,12
56132,130
53211,80
541519,4149
22132,6
337,159
3311,10
45114,30
621111,2796
52,188
551111,35
71312,16
524113,45
11,12
3159,52
3113,15
3112,4
5614,384
333999,28
23541,81
51221,62
4441,52
444,57
71395,27
561431,59
453,1294
33911,82
3339,14
442291,80
221119,22
441229,47
2211,43
44523,62
44711,176
61161,118
45431,10
3256,4
56141,432
561612,424
54189,264
81221,30
332913,20
322299,20
611699,2338
51111,56
4225,36
561622,173
23571,244
2111,3
311612,14
445292,193
3122,9
5417,701
48841,333
3328,8
22,16
32411,1
1129,58
62136,58
52211,33
81353,138
56292,64
22131,27
44111,68
2341,6
54111,1503
3369,8
446191,207
23581,13
335,29
81299,6718
45393,12
5131,14
811192,673
3325,4
54131,389
52239,152
811,546
71391,13
5416,2629
23552,251
45399,677
6117,188
72131,165
722213,764
23592,116
81131,196
42194,168
54132,123
62135,365
4811,6
324199,3
31529,17
23411,36
81211,892
3279,12
52593,47
56179,2542
4859,89
4228,32
326,17
486,1
31212,33
454,2174
32212,2
551,176
3255,9
81399,2
2212,6
524114,46
5611,149
44121,28
531,536
23321,367
54,402
4422,108
33999,72
54112,239
453991,403
81,750
45439,3602
54162,171
4227,10
514199,127
1141,13
81351,132
81357,52
81356,457
61143,67
71151,3515
56152,92
812,18
42122,58
72232,568
54143,866
53132,196
52429,458
541615,2641
541921,1825
56143,90
56111,966
54151,1790
722212,122
54134,180
3161,3
7223,734
54193,366
115115,9
44211,172
8123,74
4461,45
211,6
336411,13
53249,61
561,318
56175,285
812116,543
4841,184
81111,313
336611,81
713991,14
813,8
48849,67
2358,3
56131,250
812195,60
4431,154
62399,85
4219,288
44,795
812199,1603
451212,35
541512,1625
54187,48
72221,1191
3221,4
62134,535
3162,3
8113,26
55,81
5619,458
541199,412
52313,14
812196,175
42169,147
811412,157
311213,3
711512,27
61,55
7139,412
339911,23
51119,46
454112,1632
54182,82
22111,22
531311,675
51211,338
8135,126
8114,250
541613,2455
48551,27
54142,16
524291,23
611627,51
49211,186
44312,144
312111,39
42,245
54119,142
562111,67
53131,788
52231,369
812198,575
62419,506
441221,32
33411,12
45392,212
812113,1038
44612,473
561611,132
56162,72
5324,103
56192,11
44619,270
611692,56
62133,700
51333,155
42192,32
56149,519
33993,3
448,516
23543,95
522298,144
721,18
62142,34
5414,1035
31214,5
44131,230
812194,705
611623,67
811411,139
56199,329
532,295
7222,545
541922,1006
5239,917
51411,4
55111,249
54149,570
45391,121
5259,66
81341,60
339113,39
48532,229
44419,107
333111,7
61169,265
621112,556
611625,32
42139,85
44512,259
48411,432
48851,104
33271,15
81352,10
332431,2
514191,378
42292,17
54171,187
5133,96
52212,2
541618,3779
54191,153
453998,6940
56171,87
