business_type,N
Other Home Based Businesses,1
"Distribution, Placing, Leasing or Sales of Automatic Amusement Devices",1
180 Day Multiple - Special Event Food,1
"Street Performer, Moving Along the Public Way (Special)",1
Financial and Accounting Services,1
Commercial Janitorial Services,1
Wholesale Tobacco Product Sales,1
Employee of Expediter Service,1
"Heating, Ventilation and Air Conditioning Services - Residential | Heating, Ventilation and Air Conditioning Services - Commercial",1
Commercial Construction | Residential Construction,1
Retail Sales of Food From a Kiosk/Cart/Arcade at Navy Pier,1
"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential | Roof Repair and Installation | Home Repair Services",1
"Bed and Breakfast Establishment, Owner-Occupied, 11 or Fewer Sleeping Rooms Available for Rent for Transient Occupancy by Registered Guests",1
Distribution of Tobacco Product Samples to The General Public,1
Photography Services,1
Miscellaneous Commercial Services | Commercial Janitorial Services,1
Demolition / Wrecking,1
Sale of Furniture,1
Board Up Services for Residential Locations | Board Up Services for Commercial Locations,1
Administrative Commercial Office | Home Repair Services,1
"Heating, Ventilation and Air Conditioning Services - Commercial | Administrative Commercial Office | Heating, Ventilation and Air Conditioning Services - Residential",1
Clothing Alterations,1
Retail Sales of General Merchandise and Non-Perishable Food | Electronic Equipment Repair | Retail Sales of New Electronics and Accessories,1
Roof Repair and Installation,1
Hair Services | Retail Sales of General Merchandise,1
"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",1
Administrative Commercial Office | Miscellaneous Commercial Services,1
Board Up Services for Commercial Locations,1
Provide Foot Massage - Fully Clothed/No Disrobing | Skincare Services | Provide Full Body Massage Services | Yoga Instruction,1
Music and Dance,1
Yoga Instruction,1
Provide Home Health Care Services,1
Board Up Services for Commercial Locations | Home Repair Services | Board Up Services for Residential Locations,1
Sales Through an Auction,1
"After School Program / Tutoring Children Under 18 Years of Age | Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm",1
Health Club,1
Graphic Design and Consultation,1
Motor Vehicle Repair -  Engine and Transmission Work | Sale and Storage of Tires (100 - 1000),1
Computer Design/Development Consulting,1
Retail Sales of General Merchandise | Retail Sales of General Merchandise and Non-Perishable Food,1
Payment Center | Retail Sales of Cell Phones and Accessories,1
Acquisition and Improvement of Land/Residential Buildings | Residential Construction,1
Business and Management Consulting | Administrative Commercial Office,1
Miscellaneous Commercial Services | Administrative Commercial Office,1
Residential Cleaning Services | Commercial Janitorial Services,1
Bicycle Messenger Service,1
Administrative Commercial Office | Residential Construction | Acquisition and Improvement of Land/Residential Buildings,1
Acquisition and Improvement of Land/Residential Buildings | Administrative Commercial Office,1
Board Up Services for Residential Locations | Board Up Services for Commercial Locations | Home Repair Services,1
"Demolition / Wrecking | Fence Installation, Brick Patios, Retaining Walls, Cement Work In Residential Properties | Commercial Landscaping Services | Residential Landscaping Services",1
"Home Repair Services | Heating, Ventilation and Air Conditioning Services - Commercial",1
"Heating, Ventilation and Air Conditioning Services - Residential | Heating, Ventilation and Air Conditioning Services - Commercial | Home Repair Services",1
Retail Sales of General Merchandise | Retail Sales of Flowers,1
Home Repair Services | Roof Repair and Installation,1
Residential Construction | Acquisition and Improvement of Land/Residential Buildings,1
Residential Landscaping Services | Commercial Landscaping Services,1
Travel Services,1
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area,1
Tanning Facility,1
Commercial Landscaping Services | Residential Landscaping Services | Snowplowing,1
Cable or Satellite Installation - Commercial Properties | Administrative Commercial Office,1
"Combination - Street Performer and Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers",1
Home Repair Services | Board Up Services for Commercial Locations | Board Up Services for Residential Locations,1
"Commissioned Staffing of Professional, Secretarial and Clerical Work",1
Retail Sales of Flowers,1
Retail Sales of General Merchandise | Self Storage Facility,1
Commercial Construction,1
"Business Consulting | Preparation of License, Certificate or Permit Applications for Compensation",1
"Heating, Ventilation and Air Conditioning Services - Commercial | Home Repair Services",1
